technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Fibre to the Node,Aussie Broadband,NT + SA,Urban,104.81,18.69,18.06,100/20 Mbps,FALSE
Fibre to the Premises,TPG,VIC,Urban,106.94,18.78,2.66,100/20 Mbps,FALSE
Fibre to the Node,Vodafone,NT + SA,Urban,49.66,11.54,24.74,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,53.76,18.82,7.43,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,VIC,Urban,105.4,18.95,11.51,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,213.88,17.61,8.76,250/25 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,108.63,18.99,3.71,100/20 Mbps,FALSE
Fibre to the Node,Telstra,NT + SA,Urban,25.45,4.65,16.38,25/5 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Major Rural,265.21,23.65,16.5,250/25 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,52.84,18.93,8.48,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,105.53,18.02,10.57,100/20 Mbps,FALSE
Fibre to the Premises,Optus,TAS,Major Rural,108.6,18.91,12.27,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,93.98,18.91,8.18,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,NT + SA,Urban,27.17,4.73,11.31,25/5 Mbps,FALSE
Fibre to the Curb,TPG,VIC,Urban,53.07,18.8,5.23,50/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,NT + SA,Urban,52.96,18.94,12.56,50/20 Mbps,FALSE
Fibre to the Node,Other RSPs,TAS,Urban,88.66,18.85,17.35,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,51.35,18.96,8.75,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,261.54,23.67,4.35,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,272.25,23.48,7.84,250/25 Mbps,FALSE
Fibre to the Node,iiNet,VIC,Urban,104.43,18.72,15.24,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,107.69,18.91,8.07,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,106.82,18.86,6.53,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,88.53,31.83,2.53,100/40 Mbps,FALSE
Fibre to the Curb,Superloop,VIC,Urban,82.36,31.06,5.88,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,270.75,23.67,1.97,250/25 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,53.41,18.87,2.91,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,104.36,36.7,1.76,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Other RSPs,VIC,Urban,94.74,17.83,17.14,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Urban,40.81,8.47,13.06,50/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Minor Rural,96.84,18.66,15.44,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,103.41,18.96,10.37,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,NT + SA,Urban,53.26,18.95,18.99,50/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,52.35,18.95,4.09,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,108.57,37.64,2.64,100/40 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,91.69,18.44,4.33,100/20 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,NT + SA,Urban,53.85,18.95,42.18,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,270.61,23.55,1.88,250/25 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,270.97,23.51,2.41,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,106.11,37.88,8.43,100/40 Mbps,FALSE
Fibre to the Node,Leaptel,NT + SA,Urban,53.98,18.85,17.88,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,106.62,37.69,8.36,100/40 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Urban,106.62,18.9,13.02,100/20 Mbps,FALSE
Fibre to the Premises,iiNet,VIC,Urban,270.29,23.54,2.15,250/25 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Urban,106.13,37.78,11.59,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,100.76,15.95,10.81,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,54.47,18.95,8.53,50/20 Mbps,FALSE
Fibre to the Curb,Leaptel,VIC,Urban,105.12,17.97,4.81,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,262.57,94.8,3.15,250/100 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,107.25,18.79,8.6,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,254.44,23.38,3.91,250/25 Mbps,FALSE
Fibre to the Node,Aussie Broadband,NT + SA,Urban,99.16,18.86,67.51,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,91.97,18.01,10.85,100/20 Mbps,FALSE
Fibre to the Node,Other RSPs,VIC,Urban,105.05,18.81,8.74,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,NT + SA,Urban,26.26,4.7,25.61,25/5 Mbps,FALSE
Fibre to the Premises,TPG,VIC,Urban,107.46,18.83,4.48,100/20 Mbps,FALSE
Fibre to the Node,Optus,VIC,Urban,57.7,18.76,12.07,100/40 Mbps,TRUE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,54.22,18.42,10.04,50/20 Mbps,FALSE
Fibre to the Curb,iiNet,VIC,Urban,107.87,18.87,4.95,100/20 Mbps,FALSE
Fibre to the Curb,Vodafone,VIC,Urban,92.32,18.63,4.56,100/20 Mbps,FALSE
Fibre to the Node,Aussie Broadband,VIC,Urban,37.72,4.85,11.58,50/20 Mbps,FALSE
Fibre to the Premises,TPG,VIC,Urban,94.34,37.69,4.74,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,50.77,18.68,8.58,50/20 Mbps,FALSE
Fibre to the Premises,iiNet,TAS,Urban,107.07,16.72,14.09,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,52.36,18.71,8.98,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,262.86,23.72,8.46,250/25 Mbps,FALSE
Fibre to the Node,Optus,VIC,Urban,53.41,19.06,10.22,50/20 Mbps,FALSE
Fibre to the Premises,Other RSPs,VIC,Urban,94.43,18.81,5.63,100/20 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,92.85,37.64,11.61,100/40 Mbps,FALSE
Fibre to the Premises,TPG,NT + SA,Urban,52.8,18.82,62.56,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,26.46,3.61,8.58,25/5 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,106.18,18.85,7.43,100/20 Mbps,FALSE
